ID,I/O Data Operations, I/O Data Bytes,Number of subprocesses,Time on processor,Disk Reading/sec,Disc Writing/sec,Bytes Sent/sent,Received Bytes (HTTP),Network packets sent,Network packets received,Pages Read/sec,Pages Input/sec,Page Errors/sec,Confirmed byte radius,Label
ID_4W8AP96UO6,114.7988996,3790.450939,28.0,0.427077829,6.162365173,21.22040265,58.49277265,63.95938691,0.621206167,0.52181318,24.62461244,0.0,1001.53343,27.1908433,1
ID_UD3TM0ZYND,14.15424019,5182.451722,28.0,0.138875972,5.399498219,0.0,22.886762,29.50836887,0.422182988,0.444403146,0.044440315,0.0,1089.121009,30.15094132,0
ID_XAG1HC0HWM,0.044444088,120.8212535,28.0,0.0,1.577765128,0.0,11.73323926,12.88878555,0.177776352,0.155554308,0.044444088,0.0,322.4640812,28.16328668,0
ID_CEXD05IR09,31.36991646,127228.2511,31.0,0.523749511,15.981107,5.356671469,602.1254361,6976.986795,3.311801033,5.756754816,5.6233937,0.0,12015.16969,34.20440404,0
ID_X6E97FT8IF,5.046181048,1091.620117,25.0,0.069468388,1.35602222,0.0,16.13888741,13.27123386,0.155609107,0.133379235,0.0,0.0,550.9896188,31.46688869,1
ID_J1YVGQ3RS4,6.891100013,1694.254741,27.0,0.0,1.022550325,0.0,87.71703436,94.38584083,0.733568711,0.733568711,0.022229355,0.0,320.6362148,27.69073668,0
ID_MAJUWWRMQ1,21.96746553,5164.288783,25.0,0.208446503,0.511388368,0.0,9.204990619,9.894253201,0.133405661,0.111171384,0.0,0.0,748.9838502,21.92280582,1
ID_ZGMBINF9W9,0.04443243,16.52886404,27.0,0.0,13.61853986,0.022216215,92.13064404,115.1910753,0.599837808,0.355459442,0.04443243,0.0,1005.839139,34.32165485,0
ID_FZTBKQSK13,32.7094298,121124.1414,48.0,0.496718733,15.86334069,1.355271403,786.1907193,3016.367575,3.84363857,3.84363857,0.77761474,0.0,11603.3894,22.91327194,0
ID_CL7N69PG11,0.822502335,833.3949339,30.0,0.0,4.512647949,0.0,55.59671192,129.8664498,0.600204407,0.555744821,0.044459586,0.0,304.3258641,22.57900611,0
ID_VMYCF1I0H5,19.20648543,4834.654735,24.0,0.0,6.935675295,0.0,19.8066881,20.47357996,0.222297285,0.222297285,0.022229729,0.0,625.3444927,24.17465624,1
ID_9RW8UEDAVF,14.48654516,3006.44693,27.0,0.069433375,0.888745102,0.022218628,70.96629638,139.3996692,0.755433337,0.710996081,0.022218628,0.0,524.6484522,28.09103081,0
ID_1JJZH308OL,0.044428467,16.52738979,27.0,0.0,0.62199854,0.0,80.61545369,124.1331373,0.666427008,0.488713139,0.0,0.0,214.1896403,30.57107281,0
ID_S2B80WD5LR,54.82671055,3122352.684,31.0,8.766642633,7.148405397,0.111345878,345.0831465,902.9037284,1.558842298,1.469765596,0.957574555,0.0,7311.927954,22.18168139,0
ID_IJTPL748FG,6.645883352,5768.382252,29.0,0.069459473,5.423396448,0.0,136.740717,78.2613889,0.889081385,0.733492143,0.066681104,0.0,1017.887051,28.90531142,0
ID_CNBJNS2N5L,20.35741179,4456.406345,27.0,0.104176325,0.488933471,0.0,25.13562526,29.18043852,0.422260725,0.400036476,0.0,0.0,809.0959974,23.3072148,0
ID_EK4IAGIXKL,31.36991646,127228.2511,32.0,0.523749511,17.30702123,0.910895854,843.533995,16555.7321,5.420941182,13.44126809,0.799810994,0.0,12761.29545,29.94984568,0
ID_3BRPPPG1JO,14.02250005,2973.036684,27.0,0.069445726,0.511121238,0.0,33.31177113,71.9347586,0.466675913,0.444453251,0.022222663,0.0,555.2554459,27.33139578,0
ID_KNIQRHVSGJ,1.02228746,147.3871834,28.0,0.0,1.444536628,0.0,20.95689293,14.33424808,0.244460045,0.177789123,0.0,0.0,281.9513262,26.71388041,0
ID_K0F28VCMEZ,1.355554498,948.1325938,29.0,0.0,2.755553406,0.0,76.97771774,150.755438,0.844443786,0.866665991,0.04444441,0.0,302.4442085,33.11755556,0
ID_OHSMH1KXUU,7.598115671,1848.213785,25.0,0.069629797,0.623892196,0.0,16.28804268,22.14817295,0.155973049,0.133691185,0.0,0.0,437.3484293,31.16186341,1
ID_AQKNJTBZ7J,0.044429573,16.527801,28.0,0.0,1.421746323,0.0,62.60126777,108.2526536,0.510940085,0.288792222,0.022214786,0.0,421.5477847,25.56978814,0
ID_UJNJ21HPHQ,0.044429427,16.52774666,28.0,0.0,0.95523267,0.0,32.18911951,19.99324193,0.355435412,0.266576559,0.044429427,0.0,436.2525389,28.96197781,0
ID_72RZ1TX927,22.38394391,5692.056886,25.0,0.104195319,0.44456691,0.0,26.3405894,18.49398345,0.177826764,0.111141727,0.0,0.0,892.8459533,31.57118953,1
ID_3QNG26FESJ,46.33025055,13704.70598,26.0,0.208418864,0.689173593,0.0,93.90545985,120.4497589,1.222727342,1.311652967,0.0,0.0,1264.766931,28.4062841,1
ID_BVA45YVI7K,5.555037814,1156.425552,27.0,0.0,2.31089573,0.0,35.15227929,44.3069816,0.644384386,0.644384386,0.066660454,0.0,688.1580844,30.87741785,0
ID_JPEKU6VRNL,31.36991646,127228.2511,40.0,0.523749511,13.45580342,3.778230516,2435.10271,173077.1385,27.55235938,124.7037019,0.75122712,0.0,8511.999834,26.23118491,0
ID_8YMEP40GIX,6.99763138,28212.09496,31.0,0.03471047,4.398511153,0.022214703,75.5966336,124.5578386,0.444294056,0.39986465,0.066644108,0.0,1704.711863,25.75121136,0
ID_Z5XMGR3FB5,211.1417952,153339.4395,28.0,1.007091164,0.533410851,0.022225452,426.1063681,13964.11822,4.40063952,10.37928614,0.044450904,0.0,794.9599716,33.67877571,1
ID_OEEENH1HY7,224.6641893,96255.59544,31.0,1.909125888,12.44307645,3.399626245,2970.562305,106519.6892,28.0191418,81.34661231,0.288857132,0.0,5353.700303,33.03346327,0
